Picture Count,Address,City,Zip,Listing Price,Price,Price drop $,Price drop %,Price Per SQFT,Total SQFT,# Bedrooms,Total Baths,Year Built,Total Fin SQFT,Total Full Baths,Total Half Baths,List Date,Closing Date,Days on Market,Cordova,Port Byron,Rapids City
34,908 14TH Street,Rapids City,61278,379900,379900,0,0.00000,217,1750,4,3,2017,3055,3,0,45042,45076,34,0,0,1
33,2121 PARKWAY Drive,Port Byron,61275,375000,380000,-5000,-0.01333,234,1625,3,3,2012,1625,3,0,45078,45121,43,0,1,0
34,2203 TIMBER RIDGE Drive,Port Byron,61275,385000,380000,5000,0.01299,190,1995,4,3,2007,3492,3,0,44855,44966,111,0,1,0
24,24017 94TH Avenue,Port Byron,61275,397000,380000,17000,0.04282,179,2120,4,4,2002,3005,3,1,42532,42593,61,0,1,0
39,308 4TH Avenue Court,Port Byron,61275,374000,380000,-6000,-0.01604,164,2320,4,4,2005,3170,3,1,44329,44370,41,0,1,0
24,13919 228TH Street,Cordova,61242,380000,380000,0,0.00000,150,2535,4,3,2003,3564,3,0,41315,41400,85,1,0,0
36,906 13TH Street,Rapids City,61275,359900,381000,-21100,-0.05863,193,1978,4,3,2013,3475,3,0,45013,45103,90,0,0,1
35,409 S HIGH Street,Port Byron,61275,399500,383500,16000,0.04005,149,2571,4,5,1996,4171,4,1,43784,43920,136,0,1,0
24,21629 60TH Avenue,Port Byron,61275,399900,385000,14900,0.03726,146,2639,4,4,2005,2639,3,1,43482,43654,172,0,1,0
54,20702 41ST Avenue North,Port Byron,61275,389900,385000,4900,0.01257,165,2336,3,3,1979,2336,2,1,45128,45184,56,0,1,0
34,5529 254TH Street North,Port Byron,61275,369900,385000,-15100,-0.04082,172,2236,4,5,1979,2976,3,2,44323,44368,45,0,1,0
24,416 BARBER CREEK Road,Port Byron,61275,409900,390000,19900,0.04855,153,2548,3,5,1967,3351,4,1,42193,42265,72,0,1,0
24,22919 80TH Avenue North,Port Byron,61275,397500,390000,7500,0.01887,162,2404,4,3,2007,4090,3,0,42591,42766,175,0,1,0
35,12122 Route 84 N,Port Byron,61275,400000,390000,10000,0.02500,160,2434,4,4,1991,4182,3,1,44013,44074,61,0,1,0
24,1703 Turkey Ridge Court,Port Byron,61275,399900,390500,9400,0.02351,146,2677,5,3,2006,4205,3,0,43154,43209,55,0,1,0
